"idnum","uniq_id","year","estratopri","strata","upm","prov1t","q1tb","q2","wt","weight1500","idio2","fs2","it1","l1b","vic1ext","pole2n","aoj11","wvsi2","wvsi3","cses6n","b2","b3","b4","b6","b32","b37","b47a","b21a","b43","ed_usa"
"39",21400000039,2021,"South",4000002021,400003921,"Texas","0",64,0.89,0.88991344,"0","0","10","10","0","10","10","0","0","0","7","7","7","7","5","2","6","3","7","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"40",21400000040,2021,"Midwest",4000002021,400004021,"Ohio","0",58,1.04,1.044335604,"0","0","5","4","0","5","7.5","1","0","5","3","4","4","4","3","3","4","1","3","Some college, but no degree (yet)"
"41",21400000041,2021,"West",4000002021,400004121,"Nevada","0",29,1.82,1.81815207,"0","0","2.5","9","0","10","5","0","0","0","7","7","7","7","5","2","7","2","7","4-year college degree"
"42",21400000042,2021,"Midwest",4000002021,400004221,"Indiana","1",39,0.47,0.465791434,"0","0","7.5","1","0","5","7.5","0","0","2.5","3","2","3","4","3","5","7","5","2","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"43",21400000043,2021,"Midwest",4000002021,400004321,"Minnesota","1",63,1.16,1.164433122,"0","0","7.5","4","0","10","10","0","0","5","5","6","4","7","2","2","5","4","7","Some college, but no degree (yet)"
"44",21400000044,2021,"South",4000002021,400004421,"Texas","0",63,0.89,0.88991344,"0","0","7.5","8","0","7.5","10","0","0","0","2","2","4","5","4","1","2","1","6","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"45",21400000045,2021,"Northeast",4000002021,400004521,"Pennsylvania","0",38,1.55,1.546338677,"0","0","7.5","6","0","7.5","7.5","1","0","0","2","3","4","2","4","1","2","1","5","Some college, but no degree (yet)"
"46",21400000046,2021,"Midwest",4000002021,400004621,"Wisconsin","1",59,1.37,1.37346673,"0","0","10","9","0","10","10","0","0","2.5","4","4","5","5","7","1","6","1","6","Some college, but no degree (yet)"
"47",21400000047,2021,"South",4000002021,400004721,"Georgia","1",64,0.48,0.48007375,"1","0","7.5","3","0","7.5","10","0","0","0","4","5","5","7","5","5","6","6","7","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"48",21400000048,2021,"Midwest",4000002021,400004821,"Illinois","0",46,0.71,0.705316484,"1","0","7.5","3","0","10","10","0","1","7.5","6","5","5","6","5","5","7","7","7","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"49",21400000049,2021,"West",4000002021,400004921,"Oregon","0",54,1.04,1.044335604,"0","0","7.5","7","0","7.5","7.5","0","0","5","5","5","7","6","6","2","4","3","7","Some college, but no degree (yet)"
"50",21400000050,2021,"Midwest",4000002021,400005021,"Wisconsin","1",40,0.48,0.476118743,"0","0","7.5","1","0","7.5","7.5","1","1","2.5","3","1","2","1","4","6","4","4","3","4-year college degree"
"51",21400000051,2021,"Midwest",4000002021,400005121,"Ohio","0",75,1.07,1.073597074,"0","1","10","10","0","5","7.5","0","0","2.5","1","1","6","3","5","1","2","1","7","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"52",21400000052,2021,"West",4000002021,400005221,"California","1",61,0.96,0.961230755,"0","0","7.5","3","0","7.5","7.5","0","0","2.5","6","5","6","6","6","5","7","6","7","4-year college degree"
"53",21400000053,2021,"Northeast",4000002021,400005321,"Connecticut","0",62,0.7,0.702323377,"0","0","7.5","9","0","10","10","0","0","7.5","4","3","4","4","5","1","5","4","7","High school graduate"
"54",21400000054,2021,"West",4000002021,400005421,"Oregon","1",34,0.78,0.782282531,"0","0","7.5","8","0","10","10","1","0","5","7","5","7","7","6","1","4","1","7","4-year college degree"
"55",21400000055,2021,"Midwest",4000002021,400005521,"Ohio","0",55,0.78,0.777997851,"0","0","5","4","0","5","5","1","0","5","4","5","4","3","3","4","4","4","4","Some college, but no degree (yet)"
"56",21400000056,2021,"West",4000002021,400005621,"Utah","0",26,0.39,0.38596639,"0","0","7.5","5","0","7.5","10","0","0","2.5","6","6","5","5","6","4","6","5","6","4-year college degree"
"57",21400000057,2021,"South",4000002021,400005721,"Alabama","1",36,3.03,3.026451349,"0","0","2.5","5","0","7.5","7.5","1","1","5","4","3","1","1","1","3","2","5","5","Some college, but no degree (yet)"
"58",21400000058,2021,"Midwest",4000002021,400005821,"Michigan","1",57,1.27,1.274409771,"0","0","10","10","0","5","7.5","1","0","2.5","1","2","5","6","1","1","1","1","7","High school graduate"
"59",21400000059,2021,"South",4000002021,400005921,"Arkansas","1",79,1.14,1.136808038,"0","0","7.5","9","0","7.5","7.5","1","1","2.5","7","4","6","3","2","1","3","1","7","4-year college degree"
"60",21400000060,2021,"South",4000002021,400006021,"Florida","1",58,0.49,0.486199677,"0","1","7.5","1","0","7.5","7.5","0","0","2.5","4","3","5","7","3","3","6","5","3","2-year college degree"
"61",21400000061,2021,"West",4000002021,400006121,"Washington","1",42,0.82,0.820685327,"0","0","7.5","6","1","5","7.5","1","0","5","3","3","6","6","4","1","3","3","6","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"62",21400000062,2021,"West",4000002021,400006221,"California","1",43,0.28,0.2849949,"0","0","7.5","1","0","7.5","7.5","1","1","0","4","3","4","4","2","2","6","6","7","2-year college degree"
"63",21400000063,2021,"West",4000002021,400006321,"California","1",71,0.67,0.669083655,"0","0","10","3","0","7.5","10","1","0","2.5","6","5","5","6","5","","7","6","5","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"64",21400000064,2021,"South",4000002021,400006421,"Tennessee","1",76,0.67,0.668943644,"0","0","5","5","0","5","7.5","1","0","5","6","4","6","7","5","5","7","7","7","4-year college degree"
"65",21400000065,2021,"Northeast",4000002021,400006521,"New York","1",62,1.36,1.363652706,"1","0","7.5","7","1","10","10","0","0","2.5","6","6","7","5","6","1","2","1","7","4-year college degree"
"66",21400000066,2021,"West",4000002021,400006621,"California","1",64,1.09,1.091222286,"0","0","7.5","10","0","7.5","7.5","1","0","7.5","3","4","4","5","4","2","1","1","7","Some college, but no degree (yet)"
"67",21400000067,2021,"Midwest",4000002021,400006721,"Ohio","1",72,1.1,1.096477151,"0","0","7.5","5","0","10","10","1","0","0","1","3","7","7","1","1","1","1","7","4-year college degree"
"68",21400000068,2021,"West",4000002021,400006821,"California","0",71,1.24,1.242895961,"0","0","7.5","10","0","7.5","7.5","0","0","5","1","1","1","1","1","1","1","1","1","4-year college degree"
"69",21400000069,2021,"West",4000002021,400006921,"Hawaii","0",68,0.85,0.845028043,"1","0","7.5","1","1","7.5","7.5","0","0","0","5","4","3","5","4","6","6","7","2","4-year college degree"
"70",21400000070,2021,"West",4000002021,400007021,"Arizona","0",60,0.8,0.80151403,"1","0","10","1","0","5","10","1","1","2.5","1","1","1","1","2","1","4","4","1","4-year college degree"
"71",21400000071,2021,"West",4000002021,400007121,"California","0",54,0.57,0.573132873,"0","0","7.5","5","0","7.5","7.5","0","0","5","4","3","4","4","4","3","4","5","5","Some college, but no degree (yet)"
"72",21400000072,2021,"West",4000002021,400007221,"California","0",45,0.45,0.446580827,"0","0","7.5","2","0","5","7.5","1","1","0","2","5","4","6","4","4","6","4","4","Some college, but no degree (yet)"
"73",21400000073,2021,"West",4000002021,400007321,"Utah","1",58,0.57,0.567480147,"0","0","5","5","0","5","7.5","0","0","0","6","5","7","7","4","4","7","7","7","High school graduate"
"74",21400000074,2021,"Midwest",4000002021,400007421,"Indiana","1",64,0.78,0.778023601,"0","0","7.5","7","0","7.5","7.5","1","1","5","3","3","4","4","3","2","2","3","7","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"75",21400000075,2021,"West",4000002021,400007521,"Washington","0",78,0.64,0.637255132,"0","0","10","2","0","10","10","0","0","2.5","7","3","3","5","7","7","7","7","6","Some college, but no degree (yet)"
"76",21400000076,2021,"Northeast",4000002021,400007621,"New Jersey","0",71,0.88,0.876088798,"1","0","7.5","5","0","7.5","10","1","0","7.5","7","7","7","7","6","5","7","6","7","Some college, but no degree (yet)"
"77",21400000077,2021,"West",4000002021,400007721,"California","0",63,1.14,1.13707006,"0","0","7.5","8","0","10","10","0","0","2.5","7","7","7","7","5","2","3","4","7","4-year college degree"
"78",21400000078,2021,"West",4000002021,400007821,"Oregon","1",57,1.18,1.18377924,"0","1","7.5","10","1","7.5","10","1","0","2.5","1","1","3","3","2","1","1","1","7","4-year college degree"
"79",21400000079,2021,"Midwest",4000002021,400007921,"South Dakota","0",76,1.87,1.866508603,"0","0","10","10","0","10","10","0","0","0","1","3","1","7","4","1","1","1","7","4-year college degree"
"80",21400000080,2021,"West",4000002021,400008021,"Oregon","1",72,0.87,0.866527081,"1","0","10","1","0","7.5","10","0","0","5","7","5","7","7","6","6","7","7","7","Some college, but no degree (yet)"
"81",21400000081,2021,"South",4000002021,400008121,"Georgia","0",56,0.8,0.80151403,"1","0","7.5","2","0","7.5","10","0","1","2.5","4","4","4","5","5","5","6","7","5","4-year college degree"
"82",21400000082,2021,"Midwest",4000002021,400008221,"Illinois","0",96,0.53,0.531963646,"0","0","7.5","3","0","7.5","10","0","0","2.5","7","4","5","7","6","5","7","7","6","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"83",21400000083,2021,"South",4000002021,400008321,"Florida","0",70,0.88,0.876110077,"0","0","10","3","0","10","10","0","0","0","7","7","7","7","7","6","7","7","7","4-year college degree"
"84",21400000084,2021,"West",4000002021,400008421,"Arizona","1",61,1.02,1.018585801,"0","0","7.5","10","0","10","10","0","0","0","2","3","7","6","6","1","5","1","7","High school graduate"
"85",21400000085,2021,"South",4000002021,400008521,"Louisiana","1",48,0.63,0.625726879,"0","0","5","5","0","7.5","5","1","0","2.5","3","3","4","4","4","4","4","4","4","Some college, but no degree (yet)"
"86",21400000086,2021,"South",4000002021,400008621,"Kentucky","0",52,0.75,0.749442816,"0","0","7.5","8","0","7.5","7.5","0","0","5","5","7","7","6","5","4","6","3","7","High school graduate"
"87",21400000087,2021,"South",4000002021,400008721,"Florida","1",71,0.53,0.528822064,"1","0","10","1","0","7.5","10","1","1","2.5","7","7","5","7","4","6","7","6","5","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"88",21400000088,2021,"Midwest",4000002021,400008821,"Indiana","0",78,0.5,0.50356102,"0","0","10","9","1","7.5","10","0","0","7.5","5","5","7","7","6","2","6","3","7","2-year college degree"
"89",21400000089,2021,"South",4000002021,400008921,"Texas","0",57,0.67,0.669097781,"0","0","7.5","6","1","7.5","5","0","0","5","2","7","7","7","1","1","3","1","6","4-year college degree"
"90",21400000090,2021,"West",4000002021,400009021,"Colorado","1",75,0.67,0.669083655,"0","0","7.5","2","0","7.5","10","0","0","2.5","6","4","6","6","6","5","7","6","7","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"91",21400000091,2021,"Northeast",4000002021,400009121,"New York","1",76,0.87,0.866527081,"1","0","10","3","0","7.5","10","0","0","0","6","5","4","7","6","7","7","6","4","Some college, but no degree (yet)"
"92",21400000092,2021,"Northeast",4000002021,400009221,"New York","1",52,0.95,0.949458718,"0","1","10","5","0","10","10","1","0","7.5","5","5","4","5","6","5","6","7","5","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"93",21400000093,2021,"South",4000002021,400009321,"Virginia","1",38,0.78,0.782282531,"0","0","7.5","8","0","10","7.5","1","0","5","1","3","3","5","3","1","1","1","4","4-year college degree"
"94",21400000094,2021,"West",4000002021,400009421,"Hawaii","1",73,0.67,0.669083655,"0","0","7.5","2","0","7.5","7.5","0","0","5","5","5","4","6","5","4","6","6","4","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"95",21400000095,2021,"South",4000002021,400009521,"Florida","1",81,1.09,1.08602941,"0","0","10","8","0","10","10","1","0","7.5","2","2","4","5","3","2","3","2","6","High school graduate"
"96",21400000096,2021,"Northeast",4000002021,400009621,"New Jersey","0",69,1,1.001532316,"0","0","10","5","0","7.5","10","1","0","2.5","4","4","3","4","6","6","7","5","3","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"97",21400000097,2021,"Midwest",4000002021,400009721,"Illinois","1",78,1.01,1.013130188,"0","0","7.5","5","0","7.5","7.5","0","0","0","4","5","5","5","6","6","6","7","7","High school graduate"
NA,21400000098,2021,"West",4000002021,400009821,"California","0",72,0.85,0.850414455,"0","0","7.5","10","0","10","7.5","0","0","10","1","1","1","1","2","1","1","1","7","High school graduate"
"99",21400000099,2021,"Midwest",4000002021,400009921,"Ohio","1",72,0.87,0.866527081,"0","0","7.5","1","0","7.5","7.5","1","0","2.5","3","4","3","6","4","5","6","7","4","2-year college degree"
"100",21400000100,2021,"Northeast",4000002021,400010021,"New York","1",38,0.6,0.602401614,"0","0","10","4","1","7.5","7.5","0","1","5","5","3","3","5","4","4","4","7","3","4-year college degree"
"101",21400000101,2021,"Northeast",4000002021,400010121,"New York","1",27,0.31,0.313152939,"1","0","10","3","0","5","7.5","1","1","2.5","2","4","2","2","3","4","6","7","5","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"102",21400000102,2021,"Midwest",4000002021,400010221,"Michigan","0",24,0.64,0.643049717,"0","0","7.5","1","0","2.5","10","0","0","0","2","3","1","1","3","4","4","3","1","4-year college degree"
"103",21400000103,2021,"West",4000002021,400010321,"Colorado","0",36,1.55,1.546338677,"0","0","10","8","0","10","10","0","0","10","6","6","7","7","6","6","7","5","7","Some college, but no degree (yet)"
"104",21400000104,2021,"Northeast",4000002021,400010421,"Pennsylvania","0",73,0.89,0.892624497,"1","0","10","3","0","7.5","10","0","0","5","7","6","6","7","6","6","7","7","7","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"105",21400000105,2021,"Midwest",4000002021,400010521,"Wisconsin","1",85,0.79,0.789194405,"0","0","7.5","3","0","7.5","10","0","0","5","5","4","4","4","6","5","6","6","4","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"106",21400000106,2021,"Northeast",4000002021,400010621,"Pennsylvania","1",69,1.23,1.229300976,"0","0","7.5","10","0","10","10","1","0","5","5","3","6","6","2","1","2","1","7","Some college, but no degree (yet)"
"107",21400000107,2021,"South",4000002021,400010721,"Maryland","0",74,0.88,0.876110077,"0","0","10","3","0","10","10","0","0","5","5","4","4","6","6","6","7","6","5","4-year college degree"
"108",21400000108,2021,"West",4000002021,400010821,"California","0",73,0.84,0.843360245,"0","0","7.5","5","0","2.5","10","1","0","7.5","2","2","7","5","3","1","6","5","7","Some college, but no degree (yet)"
"109",21400000109,2021,"Northeast",4000002021,400010921,"Maine","1",76,1.23,1.229300976,"0","0","7.5","10","0","10","10","0","0","7.5","4","5","7","6","5","1","3","1","7","Some college, but no degree (yet)"
"110",21400000110,2021,"Midwest",4000002021,400011021,"Illinois","1",78,0.54,0.539769292,"0","0","10","7","0","7.5","10","0","0","5","5","5","6","5","5","4","6","6","7","High school graduate"
"111",21400000111,2021,"South",4000002021,400011121,"West Virginia","0",58,0.8,0.80151403,"0","0","5","3","1","2.5","7.5","1","0","5","7","5","4","5","1","1","5","4","7","4-year college degree"
"112",21400000112,2021,"West",4000002021,400011221,"California","1",43,0.61,0.61101228,"0","0","7.5","1","0","5","7.5","0","0","2.5","3","3","2","3","4","2","5","4","2","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"113",21400000113,2021,"Midwest",4000002021,400011321,"Indiana","1",68,1.01,1.013130188,"0","0","2.5","2","0","5","5","1","0","5","4","6","5","6","6","6","7","7","7","High school graduate"
"114",21400000114,2021,"South",4000002021,400011421,"Tennessee","1",72,0.9,0.902961135,"0","0","10","5","0","7.5","7.5","0","0","2.5","4","4","6","5","4","3","6","7","7","High school graduate"
"115",21400000115,2021,"Midwest",4000002021,400011521,"Illinois","1",75,1.01,1.013130188,"0","0","7.5","1","0","7.5","10","0","0","2.5","7","2","7","7","5","7","7","7","7","High school graduate"
"116",21400000116,2021,"South",4000002021,400011621,"South Carolina","1",63,0.67,0.667299867,"1","0","7.5","6","0","7.5","7.5","1","0","0","4","4","4","4","2","5","4","7","4","Some college, but no degree (yet)"
"117",21400000117,2021,"West",4000002021,400011721,"Colorado","1",60,3.95,3.954699755,"0","0","7.5","6","0","5","10","1","1","5","4","4","3","4","3","1","2","4","1","Did not graduate from high school"
"118",21400000118,2021,"South",4000002021,400011821,"Florida","0",60,0.73,0.729863107,"1","0","7.5","10","0","10","10","0","0","0","1","2","5","1","4","1","2","1","5","2-year college degree"
"119",21400000119,2021,"South",4000002021,400011921,"Kentucky","0",62,0.73,0.728156447,"0","0","7.5","8","0","7.5","7.5","0","0","5","5","6","6","6","4","1","3","1","7","High school graduate"
"120",21400000120,2021,"South",4000002021,400012021,"Maryland","0",56,1.01,1.013831258,"0","0","7.5","5","0","5","2.5","1","0","5","4","3","5","4","4","2","6","6","7","Some college, but no degree (yet)"
"121",21400000121,2021,"South",4000002021,400012121,"Texas","1",33,0.61,0.61101228,"1","0","7.5","1","0","5","10","0","0","0","6","4","5","3","6","6","7","6","4","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"122",21400000122,2021,"Midwest",4000002021,400012221,"Illinois","1",37,0.59,0.589335203,"0","0","5","1","1","5","5","1","1","10","4","1","1","1","1","1","1","1","4","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"123",21400000123,2021,"West",4000002021,400012321,"Oregon","1",77,0.95,0.949197412,"0","0","7.5","9","0","10","10","1","0","5","2","2","3","7","4","1","2","1","7","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"124",21400000124,2021,"Northeast",4000002021,400012421,"New York","1",68,0.89,0.885482967,"0","0","7.5","3","0","7.5","7.5","1","0","2.5","2","3","5","6","4","5","7","6","5","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"125",21400000125,2021,"South",4000002021,400012521,"Texas","1",74,1.08,1.084739685,"0","0","10","2","0","10","10","1","1","2.5","4","4","5","6","7","4","7","6","5","4-year college degree"
"126",21400000126,2021,"South",4000002021,400012621,"Virginia","0",75,0.71,0.709192038,"0","0","7.5","3","0","7.5","10","0","0","5","6","6","6","6","6","6","7","6","6","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"127",21400000127,2021,"Northeast",4000002021,400012721,"Pennsylvania","0",65,1.17,1.169137001,"0","0","7.5","10","0","10","10","1","0","0","3","5","6","7","6","1","1","1","7","High school graduate"
"128",21400000128,2021,"Northeast",4000002021,400012821,"New York","1",60,0.69,0.690646768,"0","0","5","3","0","7.5","5","1","1","5","3","4","4","5","4","5","2","5","5","Did not graduate from high school"
"129",21400000129,2021,"Midwest",4000002021,400012921,"Michigan","1",31,0.91,0.910203218,"0","0","7.5","4","0","5","7.5","1","1","0","4","4","4","3","4","4","5","5","3","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"130",21400000130,2021,"Midwest",4000002021,400013021,"Kansas","1",38,0.6,0.602401614,"0","0","5","4","0","7.5","7.5","1","1","2.5","5","2","3","4","5","2","6","6","5","4-year college degree"
"131",21400000131,2021,"Northeast",4000002021,400013121,"New York","1",30,0.48,0.476118743,"1","0","7.5","7","0","5","7.5",NA,NA,"0","4","4","4","4","4","3","4","5","5","4-year college degree"
"132",21400000132,2021,"Midwest",4000002021,400013221,"Ohio","0",37,1.09,1.09000504,"0","0","7.5","3","0","7.5","10","0","0","5","6","5","3","4","4","5","6","5","5","2-year college degree"
"133",21400000133,2021,"West",4000002021,400013321,"Arizona","0",68,1.24,1.242865801,"1","0","10","9","0","10","10","1","0","0","5","2","5","6","4","1","2","2","7","Some college, but no degree (yet)"
"134",21400000134,2021,"South",4000002021,400013421,"Texas","0",66,0.88,0.876088798,"1","0","7.5","4","0","10","7.5","0","0","0","5","5","5","6","6","6","6","6","6","2-year college degree"
"135",21400000135,2021,"South",4000002021,400013521,"Oklahoma","0",71,0.88,0.876110077,"0","0","10","2","0","7.5","10","1","0","0","7","7","7","7","7","2","7","7","7","4-year college degree"
